,year,rGDP_USD,imports_GDP,govdebt_GDP,M2,infl,unemp,cbrate,ltrate,Δ_govdebt_GDP,Δ_M2,Country,Year,Consumer_Confidence,inflation_bin,kmeans_cluster,infl_lagged
325,2008,0.08641242198448075,0.2964715299889413,0.3993137823592536,0.0007325086114966735,0.28462540246176893,0.36453381031902,0.09021270751011864,0.24712538998575226,0.40324855843415625,0.5479952732012345,Italy,2008,0.15430314834343423,Target,1.0,0.17428432433609392
326,2009,0.08161856600019451,0.23036505196888435,0.43998910211622644,0.0007989266374489646,0.1288263908376716,0.4232319222401526,0.026905544345123104,0.22950765274457827,0.5555940652742265,0.5797964149858184,Italy,2009,0.17636352648067002,Target,1.0,0.25028175396729513
327,2010,0.08292652524316396,0.2860252831964645,0.45024748625313454,0.0007979371048600306,0.17428432433609392,0.4568274533305445,0.025322865265998216,0.21640341755832557,0.40312781952650684,0.3787114655833622,Italy,2010,0.15572481715672276,Target,1.0,0.26606849551113687
328,2011,0.08353044865954125,0.3027523955451153,0.4517000356570175,0.0008073959639489587,0.25028175396729513,0.4612889506099185,0.03007090250337288,0.2824163829425924,0.363946634604054,0.4073957292528092,Italy,2011,0.12484028776459266,Target,1.0,0.1557849519300757
329,2012,0.08079723561435014,0.2882614678527467,0.4783222351650411,0.0008593413743235893,0.26606849551113687,0.5862643155156062,0.02215750710774844,0.28574400752671547,0.4727266824846724,0.5224037253583094,Italy,2012,0.09130851299599427,Target,1.0,0.096509921947869
330,2013,0.07925704433794013,0.27330214479877557,0.5016654126461256,0.000886470342417596,0.1557849519300757,0.6637759248473584,0.03798429789899732,0.22975751681593437,0.45313012096074684,0.450666658229287,Italy,2013,0.10567227031646112,Target,1.0,0.08426318659731633
331,2014,0.07925561097540126,0.2729489399151458,0.5131007948094863,0.0009192677672009531,0.096509921947869,0.6861908631908678,0.015826790791248883,0.1620192714072384,0.4023181722740531,0.462608729878537,Italy,2014,0.136507776646064,Target,1.0,0.07622122853461041
332,2015,0.07999241392466772,0.27954135639910066,0.5129827013620161,0.0009585073796059909,0.08426318659731633,0.6453924502346958,0.013294504517877715,0.10589396785230458,0.3571968998729862,0.4751369583299056,Italy,2015,0.17401041947936485,Target,1.0,0.16220354133054138
333,2016,0.08102951770172062,0.27009745903608934,0.51075073520483,0.0010046537050131476,0.07622122853461041,0.6301803937569664,0.008863002589870722,0.09506235393382065,0.3491157040663307,0.48717888396214315,Italy,2016,0.17606938810550687,Disinflation,1.0,0.15094125412979292
334,2017,0.08239171265294655,0.2960642452707974,0.5087391707851058,0.0010487056133023276,0.16220354133054138,0.6064216341698413,0.008863002589870722,0.12488795881628617,0.34992575703237117,0.4777999055095062,Italy,2017,0.17307898129134824,Target,1.0,0.12030298894926215
335,2018,0.08310504940979092,0.3106763755002159,0.5103649239119451,0.0010778199441666084,0.15094125412979292,0.5706222362399198,0.008863002589870722,0.14855808074846805,0.36391348469350515,0.44247656551453785,Italy,2018,0.19891413524317772,Target,1.0,0.073576148083915
343,1982,0.10669973026999216,0.09016142372882464,0.21017531689104174,0.26811602798835216,0.24788444898176026,0.1262474220258036,0.15826790791248885,0.4098336378084191,0.5462221496387751,0.5882812749973816,Japan,1982,0.5054390042048584,Target,0.5,0.2188547653831248
344,1983,0.11071562532353867,0.06741688593057445,0.2329319320914385,0.2908733171743765,0.19694234473093347,0.1428033051224337,0.14560647527948975,0.37651777942855147,0.5605644910387826,0.5703321884437239,Japan,1983,0.5217800250472553,Target,0.0,0.20496837131959506
345,1984,0.11577229174209466,0.07022652632211614,0.24116302569786754,0.31375714681517625,0.2188547653831248,0.14549094223438006,0.14560647527948975,0.3479613463865445,0.42436260743273047,0.556521383168164,Japan,1984,0.5355064825548685,Target,0.0,0.11797693004025833
346,1985,0.12194843250493732,0.05283817356652702,0.25182293149262247,0.34119519575627466,0.20496837131959506,0.141029461080861,0.14560647527948975,0.32610756144012787,0.4412946065158063,0.576056585647365,Japan,1985,0.5379576356812281,Target,0.0,0.08955461916836197
347,1986,0.12609477720059278,0.004145222902657522,0.27453231718692767,0.37252786539250515,0.11797693004025833,0.14866236574459804,0.0949607447474933,0.2596348469260708,0.5287804828010517,0.5858102831895335,Japan,1986,0.5154070269187205,Target,0.0,0.123001127185409
348,1987,0.13213925337593638,0.003247998415502454,0.28143683954278664,0.40764936614783187,0.08955461916836197,0.1531238468981171,0.0822993121144942,0.22477219101743925,0.4056270373168522,0.5912565489802143,Japan,1987,0.5242311781736148,Target,0.0,0.21950134782330324
349,1988,0.1412033602842382,0.009611755774273534,0.26612799230240464,0.444671926734457,0.123001127185409,0.13522415330844129,0.0822993121144942,0.22774681995508647,0.2537292623972553,0.58355810469127,Japan,1988,0.5502134013130258,Target,0.0,0.26831816159945887
350,1989,0.1483521444631,0.02578924396026895,0.24144647752693368,0.4935568867747109,0.21950134782330324,0.1208721424266259,0.1266143263299911,0.2683483774993546,0.1810493895285891,0.6261027186246071,Japan,1989,0.5453110950603068,Target,0.0,0.2787887342299672
351,1990,0.15572381424157747,0.03552986872305987,0.231837599478215,0.5273774670552096,0.26831816159945887,0.11280920958964688,0.17092934054548795,0.3555724176032544,0.2823318019974862,0.5339369943045497,Japan,1990,0.5462915563108506,Target,0.0,0.18849931682118143
352,1991,0.1613487611280442,0.01913887782716253,0.2284994756172654,0.5566407154035988,0.2787887342299672,0.11237919216697485,0.13294504264649065,0.3259094178370364,0.33047327099913465,0.5049235561904538,Japan,1991,0.5364869438054125,Target,0.0,0.15718061573394565
353,1992,0.16283723759412322,0.009905672285334288,0.24574505933260635,0.5749571968227435,0.18849931682118143,0.1154968628274482,0.10129146106399287,0.2778354543786157,0.49994940980449926,0.4546616867567326,Japan,1992,0.5036414919121948,Target,0.0,0.1240239850629617
